Card Name,General Description,Central Figure,Supporting Elements,Background Details,Art Style,Text and Borders,Mood and Symbolism,Upright Meaning,Reversed Meaning,Keywords,Symbolism,Variations
Queen of Strays,A serene yet urban scene with a regal cat embodying leadership and nurturing.,A glowing orange tabby cat wearing a radiant crown.,"Other cats gather nearby, with celestial elements in the background.",Muted urban and celestial elements blending harmoniously.,"Cut-and-paste collage style with a mix of realism and surrealism, blending warm and cool tones.","Subtle text complementing the celestial, serene tone.",Leadership through compassion and community.,"Compassion, leadership, and nurturing of a community.","Isolation, neglect, or loss of connection.","['Compassion', 'community', 'leadership.']",Leadership through care and nurturing of the overlooked.,"[""Queen Strays"", ""The Queen Of Strays"", ""The Queen Strays"", ""Queen Of Strays"", ""Strays Queen"", ""Strays Of Queen""]"
Ace of Disks,"A vibrant, powerful scene with a tiger roaring in radiant energy.","A tiger?s face dominates the upper half of the card, roaring fiercely.","A pink hand extends from clouds, holding golden stars.",A celestial sky with pink and purple swirling clouds.,"Vivid, saturated tones blending traditional tarot art with a modern, celestial theme.",Title in bold black letters on a yellow banner.,"Celestial and earthly balance, vitality, and material power.","New beginnings, opportunities, vitality, and potential.","Missed opportunities, stagnation, or misdirected energy.","['Vitality', 'materiality', 'opportunity.']",The balance of celestial and earthly power.,"[""The Ace Disks"", ""Disks Of Ace"", ""Disks Ace"", ""Ace Of Disks"", ""The Ace Of Disks"", ""Ace Disks""]"
The Ace of Hounds,"This card depicts a domesticated hound, symbolizing instinct, raw power, and the balance between being tamed and embracing 1's wild nature.","A sleek hound seated on green grass with a vibrant red background, embodying alertness and control.",The contrasting red and green background emphasizes the duality of domestication versus raw instinct.,"A plain and bold backdrop of solid red and green split horizontally, highlighting the central figure.","Rustic and traditional, with textured brushstrokes and muted colors creating an old-world feel.","The card has a simple gold border, framing the hound against the red and green background. No additional text on the card itself.","The mood is grounded and primal, emphasizing clarity of purpose and instinctual behavior.","Encourages the seeker to trust their instincts, strip away overthinking, and act with raw determination.",Represents submission or being overly controlled by external forces. A warning to reclaim autonomy and reject excessive domestication.,"['Instinct', 'Primal', 'Power', 'Domestication', 'Autonomy']","The hound represents loyalty, raw power, and the delicate balance between wildness and taming.","[""Hounds Of Ace"", ""The Ace Hounds"", ""Ace Hounds"", ""The Ace Of Hounds"", ""Hounds Ace"", ""Ace Of Hounds""]"
The Alley,"This card represents alleys as places of connection, shortcuts, and unintended consequences of society. It is a deeply personal and reflective card.",A dimly lit alleyway with glowing signs and shadowed corners.,"Trash piles, secret entrances, and small signs that hint at hidden stories.","A bustling but dim urban environment, with neon lights creating a contrast of warmth and isolation.","Modern, with a mix of realism and dreamlike surrealism. Rich contrasts of light and shadow.","The title 'The Alley' is displayed simply, with a warm yet subdued border.","Explores themes of belonging, hidden connections, and places where life’s unintended moments come together.","A place of community, where everything and everyone belongs, especially those who feel out of place.",Abandonment and the pain of being truly alone and forgotten.,"['Community', 'Belonging', 'Isolation', 'Secrets', 'Hidden paths']",The alley symbolizes the hidden spaces of life where unexpected connections and events occur.,"[""The Alley""]"
The Battle,"A vivid representation of the chaos and intensity of battle, depicting the fight for survival and self-forging.","A wolf and a hare, locked in combat, with a blood-stained sword between them.",Background splattered with red and teal patterns; the title 'The Battle' and the text 'WATER • CANCER' appear at the bottom.,"Abstract and surreal, emphasizing the clash and raw energy of the fight.","Bold, vibrant, and psychedelic, with heavy use of contrasting colors and sharp lines.","The title 'The Battle' is in bold red letters; no distinct border, but the image is framed by its background.","Themes of chaos, struggle, and the necessity of battle to forge strength and clarity.","Represents entering the fray with determination, accepting the necessity of struggle to grow and succeed.","Reflects fear of conflict, encouraging 1 to face challenges despite hesitation and uncertainty.","['Conflict', 'Struggle', 'Growth', 'Courage', 'Determination']","The wolf and hare symbolize predator-prey dynamics, while the sword signifies sharp focus and the cost of battle.","[""The Battle""]"
The Black Moon,"The card features a prominent black circle representing a void or a new moon, with a dark archway below symbolizing mystery and the unknown. A figure leaps or falls into the archway, embodying surrender and transformation.","A figure partially obscured, leaping or falling into a dark archway. The figure's white shirt contrasts sharply with the black surroundings, emphasizing the moment of transition.","A black archway with green lines radiating outward, suggesting ripples or waves that symbolize the impact of the transformation.","A minimalist background of black, white, and pale green, creating a meditative and ethereal atmosphere.","Modern and symbolic, relying on minimalism and stark contrasts to convey depth.","'Black Moon' is written in a handwritten, informal style at the top. The number 'I' is placed at the bottom, signifying beginnings and a new cycle.","Represents introspection, hidden aspects of the self, and embracing uncertainty. The mood is contemplative and enigmatic, inviting exploration of the subconscious.",To be provided via photograph.,To be provided via photograph.,"['Introspection', 'Transition', 'Unknown', 'Transformation', 'Reflection']","The black moon represents the hidden self, and the figure's leap signifies surrender and faith in transformation.","[""The Black Moon""]"
The Bogeyman,"This card has a dark, gothic aesthetic with bold contrasts of deep black, fiery red, and metallic gold. The design is intensely dramatic, featuring a haunting, macabre central figure surrounded by sharp, sinister details.","The Bogeyman is a skeletal figure draped in a tattered red cloak edged with black, flowing dramatically over its form. A large hood obscures parts of its skull, adding to the air of menace, and twisted vines or tendrils wrap around its shoulders, enhancing its feral appearance. A curved sickle or scythe is tucked behind it, reinforcing themes of fear and endings.","A glowing circular golden halo with jagged edges surrounds the Bogeyman, symbolizing distorted divinity or corrupted power. At the base of the card, large flowers splattered with red resemble blood, creating a violent yet natural juxtaposition.","The background transitions from black to deep purple, creating a shadowed, eerie environment that emphasizes the figure?s ominous presence.","Dark and gothic, with bold contrasts and intricate details in deep black, fiery red, and metallic gold. The design blends elegance with a hauntingly macabre atmosphere.","The card is framed by a thick black border with irregular golden textures. At the bottom, the title 'V THE BOGEYMAN' is written in a jagged, horror-themed font with uneven red accents resembling blood stains.","Themes of fear, power, and the lurking shadows of the unknown. The Bogeyman represents the fears we create in our minds, challenging the viewer to confront what they dread most.","He who waits in the dark to horrify. The Bogeyman isn?t real, and your fears are temporary. Even if you fail, it won?t be as bad as it seems. The glowing halo represents the door just beyond the darkness?you need to be brave enough to step through it.","The Bogeyman becomes irrelevant, symbolizing fears you?ve already overcome. This is an acknowledgment of past victories over fear.","['Fear', 'Illusion', 'Courage', 'Confrontation', 'Transformation']","The skeletal figure represents fear as an illusion, while the glowing halo hints at hope and transformation beyond fear.","[""The Bogeyman""]"
The Comforter,A serene and nurturing scene with a regal woman providing comfort.,A woman seated on a peacock chair with a white rabbit in her lap.,A harp to the left and a rustic table with tea items to the right.,"Muted, earthy palette with bare tree branches and decorations.","Warm, muted palette with detailed linework and rustic, homey textures.",Title in elegant gold lettering with ornate gold flourishes.,"Themes of support, comfort, and emotional healing.","Comfort, nurturing, and emotional support.","Isolation, suffering in silence, or reluctance to seek support.","['Comfort', 'nurture', 'care.']","The need for care, support, and emotional security.","[""The Comforter""]"
The Empty,"A smooth orb, open nothing. A lightly templated edge.","A smooth orb, open nothing.",A smooth orb centered in the card design.,"Blank, white background with minimal texture.","Minimalist, simple with soft gradients and clean edges.",No visible text; subtle border around the card.,"Represents rawness, newness, and waiting for influence. It relates to children or blank opportunities, symbolizing potential and open beginnings.","Signifies newness and rawness, waiting for influence to change and grow. Represents blank opportunities or moments to create.","A missed emptiness, a blank of the past, or something that went on untouched by life. Represents a missed chance to be formative.","['Newness', 'Potential', 'Blank Canvas', 'Missed Opportunities']",The orb signifies blank opportunity and open potential.,"[""The Empty""]"
The Final Tarot Card,"A mysterious card representing the end of a reading, urging caution and introspection about what lies ahead.",A curtained stage opening to reveal a dark void encircled by glowing golden light.,"Rich red curtains framed by ornate gold decorations, enhancing the theatrical and final nature of the card.","The dark void contrasts with the ornate stage, symbolizing the unknown and the finality of decisions.","Opulent and surreal, with intricate details and dramatic use of color and light.",No explicit text beyond the card title; the imagery is bordered by elaborate golden ornamentation.,"Themes of closure, mystery, and the acceptance of what cannot be controlled or foreseen.","Indicates the end of a reading and the importance of experiencing life as it unfolds, without foreknowledge of the outcome.",Warns of confronting harsh truths or unexpected revelations that may arise when the unknown is unveiled.,"['Closure', 'Mystery', 'Introspection', 'Acceptance', 'Revelation']",The curtain represents the boundary between known and unknown; the void signifies the mysteries that remain hidden.,"[""The Final Tarot Card""]"
The Fountain,"The card depicts a glowing fountain that symbolizes relief, rejuvenation, and fulfillment. It serves as a place of healing and respite, encouraging reflection and recovery.","A vibrant fountain with multiple tiers, flowing water, and illuminated by blue and purple hues.","Stars and celestial accents surround the fountain, along with flowing streams of water, symbolizing renewal and cosmic harmony.","The fountain is set within a geometric frame, floating against a dark background with scattered stars, creating a serene and otherworldly atmosphere.","Minimalist and vibrant, with neon-like colors and clean, modern lines.",The card title 'The Fountain' is displayed at the bottom in a stylized font. The card is bordered by a thin geometric line.,"The mood is tranquil and uplifting, symbolizing the nourishment of the soul, finding peace, and the renewal of spirit.","Relief, rejuvenation, fulfillment, and a much-needed break from stress or pain.","Dissatisfaction, false promises of aid, or lack of genuine support when needed. A warning against shallow or unhelpful remedies.","['Relief', 'Rejuvenation', 'Fulfillment', 'Healing', 'Renewal']","The flowing water represents life and renewal, while the stars highlight cosmic balance and guidance.","[""The Fountain""]"
The Hawkmoth,"The card depicts a striking hawkmoth in bold, earthy tones of gold, brown, and black. The design is symmetrical, with a sense of balance and transformation central to its composition.","A detailed hawkmoth with spread wings is the primary focus. Its intricate patterns and vibrant colors emphasize themes of change, cycles, and evolution.","Above the hawkmoth, a white oval with the Roman numeral 'II' signifies its position, surrounded by small glowing orbs in gold. Additional mirrored elements, such as symmetrical floral motifs and a darker shadowed base, create visual depth.","The background features a stark black field, which makes the earthy tones of the hawkmoth and glowing orbs stand out vividly.","Bold and clean, with a naturalistic focus on the hawkmoth's anatomy and vibrant, symmetrical patterns that symbolize balance and transformation.","The title 'THE HAWKMOTH' is printed in elegant serifed white lettering at the bottom, surrounded by a thick black border. The border is accented with small, glowing dots and reflective shapes, reinforcing the theme of cycles and change.","Themes of transformation, uncertainty, and the courage to move into the unknown. The hawkmoth symbolizes the cycle of change, hope, and the formation of a new identity.","This is the cycle of change from uncertainty, from formlessness, with hope for a future form. Trust that who and what you become as you step into the unknown is where you?re meant to be. Destiny is less about pre-determination and more about where you end up being the right place.","Anxiety over the unknown, fear of taking bold steps, and the hesitation to move forward. It suggests being paralyzed by uncertainty and settling where you are out of fear of change.","['Transformation', 'Cycles', 'Courage', 'Uncertainty', 'Hope']",The hawkmoth represents metamorphosis and the beauty of transition. The glowing orbs and symmetrical design emphasize balance and the guidance of light through dark times.,"[""The Hawkmoth""]"
The Horizon,"Revelation comes with enlightenment, not disaster. The fear held in the night seems insignificant in the day. Problems are clear by their long shadows.","The card showcases a symbolic explosion of light from a central point, signifying illumination and revelation.",A pixelated character above the light burst hints at hidden or subtle details only visible upon closer inspection.,"A black backdrop framed by a white brick pattern, symbolizing a shift from confinement (walls) to revelation (light).","A mixture of stark contrasts and playful, retro elements, merging minimalist design with a surreal edge.","The words 'The Horizon' are printed boldly at the top, surrounded by a brick motif. The title is repeated in handwritten style on the bottom card.","The card signifies clarity, perspective shifts, and the power of seeing things in a new light. It speaks to the contrast between fear in the dark and clarity in the day.","Revelation, enlightenment, seeing problems clearly.",No reversed meaning specified; the guidebook discourages reversals for this card.,"['Revelation', 'Enlightenment', 'Perspective Shift']","The bright burst of light signifies revelation and clarity, while the brick pattern represents breaking through barriers or walls to gain a new perspective.","[""The Horizon""]"
The House of God,"The card portrays themes of the mind's entrapments, violence, and the weight of existential fear. It is linked to the artificiality of the mind's interpretations and the overwhelming nature of reality.",A fractured tower with crumbling sections.,Surrounding debris and a stark background emphasize the destruction.,"A simple, ominous sky that feels oppressive, symbolic of external pressures.","Minimalist and dark, with heavy use of blacks and grays.","Bold text 'THE HOUSE OF GOD' beneath the image, Roman numeral XVI on the top corner.",Represents the collapse of the mind’s constructs and the raw recognition of existential realities.,"If we spend too long in the mind, we succumb to its darkness, fears, and artificiality. It conveys themes of violence, arbitrariness, and cruelty.","Apathy and dissociation dominate. Life feels artificial, with a lack of meaning and connection.","['Mind', 'Fear', 'Violence', 'Collapse', 'Artificiality', 'Apathy']",The crumbling tower represents the breakdown of the mind's false constructs.,"[""House Of God"", ""The House Of God"", ""God Of House"", ""House God"", ""The House God"", ""God House""]"
The Knight of Rings,"The card is intricately detailed with a sophisticated black-and-gold aesthetic, blending regal elegance with an underlying sense of mortality.","A skeletal figure dressed in a medieval or Renaissance-style outfit, conveying confidence and determination despite its skeletal form. The knight wears a fitted, long-sleeved garment with fine golden embroidery, a golden sash, and a headscarf or beret that adds flair.","The knight holds a long, curved sword in their right hand, detailed with gold accents, and a simple circular ring in their left hand, reinforcing the card's connection to the suit of Rings (Pentacles).","Intricately drawn branches with elongated leaves in gold and white create a sense of growth and natural beauty, contrasting with the skeletal figure. White stars and diamond-shaped sparkles fill the celestial background, bordered by a thick black frame with ornate gold floral patterns.","Sophisticated and macabre, with a black-and-gold palette that combines elegance with themes of decay and mortality. Ornate floral details add refinement.","The scene is framed by a thick black border with gold detailing, including floral patterns in the corners. The title 'KNIGHT OF RINGS' is printed at the bottom in a clear, gold serif font.","Themes of determination, endurance, and responsibility, with a reminder of life?s impermanence. The skeletal knight symbolizes perseverance, while the ring represents cycles, commitments, and material stability.","Practicality, hard work, and responsibility. A methodical approach to achieving goals and a commitment to building material stability.","Stagnation, laziness, or overworking oneself without progress. A warning against being too rigid or losing sight of broader goals.","['Practicality', 'Endurance', 'Responsibility', 'Stability', 'Hard Work']","The ring symbolizes cycles and material stability, while the skeletal knight highlights perseverance and determination despite challenges. The ornate background and celestial elements suggest a balance between material focus and spiritual reflection.","[""The Knight Of Rings"", ""Knight Of Rings"", ""Knight Rings"", ""The Knight Rings"", ""Rings Of Knight"", ""Rings Knight""]"
The Letter,"The card represents communication and the need to express thoughts, intentions, and emotions clearly. It emphasizes the importance of putting forth effort to share your messages openly.","2 hands are exchanging a sealed envelope, symbolizing the act of giving or receiving communication.","The envelope features a wax seal, highlighting the formality or importance of the message. Surrounding the figures are blooming roses, a lush landscape, and birds in flight, all symbolizing harmony and the flow of communication.","A natural setting with detailed floral elements, birds, and trees creates a peaceful and inviting environment, emphasizing growth and connection.",A bold yet delicate black-and-white illustration style with pops of pink for the border. The design is intricate and evocative of vintage or retro aesthetics.,"The card features the title 'The Letter' at the bottom in a bold, stylized typeface. The header reads 'Twenty 7' alongside the Lenormand symbol for the suit of spades.","The card embodies the need for clarity and openness in communication, underscoring how expression can resolve misunderstandings and foster connection.","Clear communication, honesty, and effort in expressing thoughts and feelings.",Lack of communication leading to misunderstandings and unresolved issues. The guidebook notes that upright and reversed meanings are essentially 2 sides of the same coin.,"['Communication', 'Expression', 'Honesty', 'Understanding']","The exchange of the letter represents the giving and receiving of information. The floral and bird motifs highlight harmony, growth, and the potential for resolution.","[""The Letter""]"
The Lone and Level Sands,"This card depicts a desolate desert scene with a stone face partially buried in the sand, symbolizing the impermanence of human achievements and the humbling power of time.","A carved stone face lying in the sand, representing lofty ideals and hubris being eroded over time.","A bright sun in the sky with radiating beams, symbolizing clarity and inevitability, and surrounding dunes that emphasize isolation and timelessness.","The vast desert with yellow sands and a vivid blue sky, adding to the feeling of emptiness and permanence.","Vivid and bold, using clean lines and bright colors to convey simplicity and starkness.","The card title 'The Lone and Level Sands' is written at the bottom in a serif font, with a simple white border framing the artwork.","The mood is contemplative, urging reflection on hubris, humility, and the transient nature of achievements.",A call to humility and recognition of 1's fallibility. It warns of the consequences of overconfidence and the need for perspective.,A fall leading to growth and renewal. Encourages embracing new foundations after a humbling experience.,"['Hubris', 'Humility', 'Impermanence', 'Reflection', 'Renewal']","The stone face represents human ambition and its eventual decay, while the sun highlights truth and inevitability.","[""The Lone And Level Sands""]"
The Night Owl,"The Night Owl represents the knowledge or truth you already possess but have difficulty admitting to yourself. It could highlight accountability for something gone wrong, the need to apologize, or the realization that something isn’t right for you. It offers harsh wisdom and promises that you already have the tools to resolve your issues.","A dark, majestic owl with glowing eyes spreads its wings wide, evoking a sense of power and omniscience.","The owl is surrounded by constellations and celestial symbols, emphasizing intuition, wisdom, and cosmic connection. A partial moon adds a mystical touch.","The backdrop features a deep, starry night sky with radiant blues and purples, creating a dreamlike atmosphere.","Vivid and modern with bold, cosmic-inspired colors. The illustration is sharp, detailed, and imbued with an air of mystery.","The card title, 'The Night Owl,' is printed in a unique font along the right side of the card. The layout is minimalist, allowing the owl to dominate the design.","The card carries themes of self-awareness, accountability, and inner wisdom. It reminds the querent that their answers are within reach, even if they are uncomfortable truths.",Not applicable; the card is meant to be laid out sideways and read without reversals.,Not applicable; the card is meant to be laid out sideways and read without reversals.,"['Wisdom', 'Accountability', 'Self-Reflection', 'Cosmic Connection']","The owl represents knowledge, intuition, and the ability to see through the darkness. The constellations and moon suggest guidance, truth, and a connection to the broader universe.","[""The Night Owl""]"
The Performer,"A musician seated with an instrument, blending elegance and performance.",A performer in Renaissance attire playing a stringed instrument.,Small flowers at the base and muted earthy tones.,Minimal detail with muted tones and earthy colors.,"Hand-drawn, vintage style with earthy tones and small floral embellishments.","Simple pale border, suggesting a vintage look.",The roles we play and the masks we wear in performance.,"Identity, performance, and the masks we wear.","Insecurity, obsession with roles, or fear of authenticity.","['Performance', 'identity', 'masks.']",The roles we play and the truths we hide.,"[""The Performer""]"
The Publishing Goblin,"A chaotic, magical workspace dominated by a goblin typing on a vintage typewriter.",A goblin hunched over a typewriter with exaggerated features.,"Scrolls, bookshelves fading into shadow, and chaotic text.","A cluttered, chaotic publishing environment with shadows.","Collage-style aesthetic with muted tones and chaotic textures, blending realism and whimsy.",Minimalist text with a vintage aesthetic.,Obsessive creativity and the magic of chaotic inspiration.,"Obsessive creativity, laborious writing, and chaotic inspiration.","Burnout, lack of focus, or overwhelming chaos.","['Writing', 'Chaos', 'Inspiration']",The chaotic yet magical act of creation.,"[""The Publishing Goblin""]"
The Pure Hierophant,"A divine figure mediating between the divine and the mortal realms, granting truth and guidance.","A kneeling figure crowned by a woman, with a cherub aiming a bow overhead.","The crown, the cherub with a bow, and the interplay of figures represent divine truth and authority.","A minimalistic design with dotted border and pale background, focusing on the figures.","Classic and medieval-inspired, using muted colors and intricate line work.","The Roman numeral 'V' is displayed in the upper left corner, with a dotted decorative border around the card.","Represents divine knowledge, respect for truth, and the role of a bridge between worlds. Encourages leadership and integrity.",Signifies being granted divine truth or guidance. Encourages respect for sources and the recognition of 1's role as a leader or mediator.,Warns against blind adherence to knowledge from others. Encourages critical thinking and questioning the truth of what is presented.,"['Divine Knowledge', 'Leadership', 'Respect', 'Critical Thinking', 'Guidance']","The cherub symbolizes divine intervention, the crown represents authority, and the kneeling figure signifies humility and reverence.","[""The Pure Hierophant""]"
The Queen of Bombs,"The Queen of Bombs embodies the paradox of care and destruction, balancing motherly support with the looming threat of annihilation.",A 1950s-style homemaker with a nuclear radiation symbol over her face and bombs surrounding her.,"Background elements of a kitchen scene, with pink and purple tones creating a surreal, ominous atmosphere.","Patterned wallpaper and a table with mixing bowls, juxtaposed with falling bombs.",Retro-futuristic with a bold color palette of magenta and black. Elements of surrealism and satire.,"The name 'The Queen' is written at the bottom in bold, pink-on-black text. Thin pink borders frame the card.",Symbolizes the duality of nurturing care and existential threat. Represents the comforting lies we tell ourselves in the face of harsh realities.,"Signifies protection, support, and the calm in the face of crisis. Encourages resilience amidst chaos.","Represents apathy, coldness, and the acceptance of destruction. Highlights detachment and the quiet dread of annihilation.","['Care', 'Destruction', 'Comfort', 'Apathy', 'Existential Threat']","The bombs represent looming threats, while the homemaker symbolizes domestic care and comfort.","[""Queen Bombs"", ""The Queen Bombs"", ""Bombs Queen"", ""The Queen Of Bombs"", ""Queen Of Bombs"", ""Bombs Of Queen""]"
"The Sun, Sigil","A minimalist depiction of a sigil representing the sun, with geometric and symbolic elements encouraging joy and action.",A sigil-like design featuring a half-circle atop a vertical line with 2 diagonal lines forming arrows pointing outward.,"The number '19' appears in the bottom corners, symbolizing association with traditional Sun cards in tarot.","A plain white background, emphasizing the stark black design of the sigil.","Minimalist and geometric, with clean lines and a modern aesthetic.","No border; the number '19' is placed on the bottom corners. The title 'The Sun, Sigil' is referenced in the guidebook.","Themes of joy, action, and self-created happiness; a call to manifest light and celebration in life.","Encourages bringing joy, mirth, and celebration into your life through proactive action.","Represents misplaced timing or premature celebration, emphasizing the need to align actions with accomplishments.","['Joy', 'Celebration', 'Action', 'Manifestation', 'Happiness']","The sigil symbolizes the energy of the sun, calling forth joy and light.","[""The Sun, Sigil"", ""The Sun (Sigil)""]"
The Thing Among Reflections,"The card depicts a solemn figure in profile, cloaked in a netted garment. The figure stands among ornate archways with mirrored surfaces. Reflected in the mirrors are distorted faces, hinting at deception or inner turmoil. The scene is framed by decorative engravings featuring cherubic figures and intricate designs.","A woman in profile wearing a netted garment, exuding a solemn, introspective aura.","Distorted faces in the mirrors represent anxiety and self-doubt. Ornate designs and cherubic figures frame the scene, evoking a sense of mystery and reflection.","A soft, sepia-toned background with ornate archways and mirrors. The muted palette enhances the card's introspective tone.","Vintage and surreal, combining intricate linework with muted colors to create a dreamlike quality.","The title 'The Thing Among Reflections' is displayed at the bottom, accompanied by a small, whimsical emblem. The card lacks a defined border.","The card evokes themes of dissociation, self-perception, and inner conflict. It highlights the challenge of aligning the self-image with inner truth.","A disconnect between self-perception and reality, imposter syndrome, and the anxiety of feeling not fully oneself. Encourages introspection to reconcile identity.","Intense episodes of anxiety and trauma, feeling lost or disconnected from the self. A warning to seek grounding and clarity.","['Dissociation', 'Self-perception', 'Anxiety', 'Reflection', 'Identity']",The mirrors symbolize distorted perceptions and inner conflict. The distorted faces suggest unresolved anxieties or a skewed sense of self.,"[""The Thing Among Reflections""]"
The Tradition,"A card depicting the intersection of rituals and customs, symbolizing the value of heritage and the human connection to history.","A monk pouring water in a traditional ceremony, surrounded by symbolic representations of different cultures and spiritual practices.","Cultural symbols, including a sugar skull motif and ritualistic silhouettes, suggest a merging of diverse traditions.","The card’s backdrop features ornate patterns and a dark, starry sky, contrasting the vibrancy of the cultural artifacts.","Collage-like and vivid, with an eclectic mix of cultural iconography and intricate details.",The card features an ornate border with golden patterns and the number 5 prominently displayed in a decorative emblem.,"The mood is reverent and introspective, emphasizing the weight of tradition and the beauty of shared human rituals.","Encourages the seeker to explore and honor traditional practices, gaining wisdom and a sense of continuity from them.",Represents disconnection from heritage and the loss of cultural touchstones. A call to preserve and reconnect with history.,"['Tradition', 'Heritage', 'Ritual', 'Continuity', 'Culture']","The monk and cultural symbols represent the shared threads of humanity, linking past and present through ritual.","[""The Tradition""]"
The Traitor,"This card speaks of betrayal, either by someone else or by the querent themselves. It symbolizes deception, backstabbing, and the unveiling of true intentions.","The card depicts a holy man, possibly a monk or priest, raising his hand as if caught in the act or signaling something hidden. His posture exudes an air of revelation and secrecy.","Details such as books, a column, and the figure’s flowing robe create a sense of authority and trust, contrasted by the theme of betrayal.","A simple backdrop with linear textures and faint architectural elements, emphasizing the duality of trust and deception.","Classical and minimalistic, with muted colors and fine line work that convey a sense of solemnity and historical gravitas.","The card features the title 'Traître' ('The Traitor') prominently at the top, along with 'Droit' (upright) and 'Renversé' (reversed) labeled on the sides. The framing is rectangular with simple lines.","The card explores themes of deceit, disillusionment, and hidden motives, prompting the seeker to reflect on the fragility of trust and communication.","Deception, betrayal, hidden truths revealed.",Not applicable; the guidebook explicitly states there is no reversed meaning.,"['Betrayal', 'Deception', 'Hidden Motives', 'Trust Issues']","The holy man represents a trusted figure masking deeper intentions. The setting, with its orderly elements, contrasts with the chaotic implications of the card’s message.","[""The Traitor""]"
The Undaunted,"The card features a strange, fey-like creature depicted in a vivid and surreal nighttime scene. The composition feels like a rare, magical photograph, capturing the essence of the creature in its hollow.","A luminous, otherworldly figure with abstract, fluid features, rooted in its hollow amidst twisted branches and glowing foliage. The creature exudes raw power and an air of defiance, appearing unapologetically itself.","The backdrop includes a striking red moon that glows brightly against a deep indigo sky, casting ethereal light on the creature. Floral and organic motifs in purples and blues frame the figure, creating an enchanting and surreal atmosphere.","The scene is set in a dense forest, illuminated by soft, mystical light. Shadows of intertwining branches enhance the mysterious and magical tone.","Bold and fantastical, with vivid colors and fluid, abstract designs that emphasize otherworldly beauty and raw energy.","The card title 'The Undaunted' is written in elegant cursive at the bottom. A faint numerical marking '13/12/41' appears subtly, adding a sense of lore or hidden meaning.","Themes of unashamed self-certainty and living as your true self in complete power and confidence. The card symbolizes rebellion, determination, and raw authenticity.","Unabashed self-certainty, determination, and the courage to live as yourself without fear or compromise. A rawness that is humbling yet powerful. However, it warns against disregarding others? viewpoints in your boldness.","A hidden creature unwilling to reveal itself, stemming from fear of being known or judged. It represents a retreat from confidence and vulnerability.","['Confidence', 'Rebellion', 'Determination', 'Authenticity', 'Power']","The fey-like creature represents unapologetic individuality and defiance of societal norms. The glowing red moon and enchanted forest emphasize mystery and strength, while the organic framing elements symbolize life and connection to nature.","[""The Undaunted""]"
The Wheel of Fortune,"The card is rendered in a traditional, vintage tarot style, with muted earthy tones of yellow, red, green, and blue. The hand-drawn illustrations and aged parchment-like background give it a historical and rustic appearance.","A large wooden wheel occupies the center, with golden outer edges and red and blue spokes radiating from a central red hub. Figures surround the wheel: a crowned figure sits atop with a staff, an animal-like figure ascends on the right, and another descends on the left. At the base, a small flame rises from a pedestal, and a human head peeks out from beneath the wheel.","The wheel is mounted on a sturdy wooden frame, reinforced with thick red and blue beams. Green grass and brown earth provide grounding, while the plain parchment background keeps focus on the wheel and its figures.",A simple parchment-colored sky with no celestial details emphasizes the cyclical nature of the wheel and the figures? movement.,"Traditional vintage tarot style with muted earthy tones and hand-drawn illustrations, evoking a historical and rustic feel.","A thin black border frames the card. The title 'LA ROVE DE FORTVNE' appears in uppercase black lettering at the bottom, with the Roman numeral 'X' at the top.","Themes of cyclical fortune, the rise and fall of circumstances, and the inevitability of change. The card evokes movement and impermanence, reflecting the tides of fate.","Good luck, change, and the cycles of life. A turning point or unexpected opportunities driven by fate.","Resistance to change, misfortune, or a sense of being stuck in negative cycles. An inability to embrace the flow of life.","['Cycles', 'Fate', 'Change', 'Luck', 'Impermanence']","The wheel represents the cyclical nature of fortune, while the ascending and descending figures highlight the rise and fall of circumstances. The crowned figure symbolizes rulership and success, but also caution against complacency. The flame represents energy and time, ever-moving and impermanent.","[""Fortune Wheel"", ""The Wheel Of Fortune"", ""The Wheel Fortune"", ""Wheel Of Fortune"", ""Wheel Fortune"", ""Fortune Of Wheel""]"
The White/Black Candle,"A candle in a minimalist design with a focus on duality, representing ritual and daily practices.","A single candle with a flame, shown in either black or white depending on the background.",The focus on ritual candles as symbolic markers for life's routines and habits.,"Plain background with a textured appearance, alternating between dark and light tones.",Minimalist with a monochromatic aesthetic. The design emphasizes simplicity and symbolism.,No text or distinct borders on the card itself. The name 'The White/Black Candle' is derived from its dual nature.,"Symbolizes rituals, both magical and mundane. Highlights the importance of recognizing daily habits and their impact on life.",Represents the simplicity and importance of rituals in daily life. Encourages mindfulness about routines and their effects.,Can indicate becoming trapped by repetitive routines or neglecting the significance of personal rituals.,"['Ritual', 'Routine', 'Mindfulness', 'Habits', 'Duality']","The candle represents light, ritual, and the repetitive nature of life. Black and white symbolize balance and duality.","[""The White/Black Candle""]"
